([-1, 0, 0, 1, 1, 0, -1, 0, -1, 0], [3, 3, 0, 0, 8, 0, 2, 0, 2])
([1, 0, 0, 1, 1, 0, -1, 0, -1, -1], [1, 1, 0, 0, 1, 0, 8, 0, 0])
([-1, 0, 0, 1, 1, 0, -1, 1, -1, -1], [2, 2, 0, 0, 6, 0, 0, 0, 0])
([1, -1, 0, 1, 1, 0, -1, 1, -1, -1], [0, 2, 0, 0, 4, 0, 0, 0, 0])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 7, 43, 1, 1])
([1, 0, 0, 0, 0, 0, 0, -1, 0, 0], [5, 3, 3, 18, 5, 3, 0, 3, 3])
([-1, 0, 0, 0, 1, 0, 0, -1, 0, 0], [5, 5, 2, 0, 10, 1, 0, 2, 1])
([1, 0, 0, 0, 1, -1, 0, -1, 0, 0], [3, 3, 17, 0, 0, 2, 0, 2, 4])
([-1, 0, 0, 0, 1, -1, 0, -1, 0, 1], [6, 1, 1, 0, 0, 1, 0, 7, 0])
([1, 0, 0, 0, 1, -1, 0, -1, -1, 1], [3, 3, 6, 0, 0, 2, 0, 0, 0])
([-1, 1, 0, 0, 1, -1, 0, -1, -1, 1], [0, 3, 1, 0, 0, 1, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 2, 17, 1, 1, 1, 1, 1])
([-1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 30, 55, 3, 4, 3, 14, 3, 4])
([1, 1, 0, -1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 2, 3, 3, 20, 1, 1])
([-1, 1, 0, -1, 0, 0, 1, 0, 0, 0], [0, 3, 0, 3, 5, 0, 2, 2, 2])
([1, 1, 0, -1, 0, -1, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0, 3, 1, 1])
([-1, 1, 0, -1, 0, -1, 1, 0, 0, 1], [0, 2, 0, 2, 0, 0, 7, 2, 0])
([1, 1, 0, -1, -1, -1, 1, 0, 0, 1], [0, 3, 0, 0, 0, 0, 2, 1, 0])
([-1, 1, 0, -1, -1, -1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1, 0])
([1, 1, -1, -1, -1, -1, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 3, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 3, 16, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, 0], [9, 3, 3, 5, 24, 0, 17, 3, 3])
([1, 0, 0, 0, 0, -1, 1, 0, 0, 0], [2, 7, 2, 12, 0, 0, 1, 1, 1])
([-1, 0, 0, 0, 0, -1, 1, 0, 1, 0], [5, 1, 3, 1, 0, 0, 1, 0, 1])
([1, 0, 0, -1, 0, -1, 1, 0, 1, 0], [1, 1, 0, 1, 0, 0, 3, 0, 1])
([-1, 0, 0, -1, 1, -1, 1, 0, 1, 0], [2, 2, 0, 0, 0, 0, 7, 0, 2])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 15, 1, 1, 1, 1, 1])
([-1, 0, 0, 0, 1, 0, 0, 0, 0, 0], [4, 5, 9, 0, 17, 5, 3, 3, 3])
([1, -1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1, 1, 37, 1, 1])
([-1, -1, 0, 0, 1, 0, 0, 0, 1, 0], [0, 4, 8, 0, 11, 4, 4, 0, 4])
([1, -1, 0, 0, 1, 0, 0, 0, 1, -1], [0, 1, 1, 0, 1, 1, 13, 0, 0])
([-1, -1, 0, 0, 1, 0, 0, 1, 1, -1], [0, 3, 3, 0, 3, 2, 0, 0, 0])
([1, -1, 0, 0, 1, 0, -1, 1, 1, -1], [0, 1, 1, 0, 6, 0, 0, 0, 0])
([-1, -1, 0, 0, 1, 1, -1, 1, 1, -1], [0, 2, 4, 0, 0, 0, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 36, 1, 1, 1, 1, 1, 1, 1])
([-1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 11, 10, 10, 5, 7, 5, 7])
([1, 0, 1, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 27, 1, 1, 1, 1])
([-1, 0, 1, 0, -1, 1, 0, 0, 0, 0], [2, 0, 10, 0, 0, 1, 2, 1, 1])
([1, 0, 1, 0, -1, 1, 0, -1, 0, 0], [4, 0, 1, 0, 0, 1, 0, 1, 1])
([-1, 0, 1, 1, -1, 1, 0, -1, 0, 0], [9, 0, 0, 0, 0, 2, 0, 2, 2])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 34, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [11, 9, 13, 9, 0, 15, 9, 9, 9])
([1, 0, 0, 0, 0, 1, 0, 0, -1, 0], [1, 1, 1, 1, 0, 1, 29, 0, 1])
([-1, 0, 0, 0, 0, 1, 0, 1, -1, 0], [4, 3, 3, 3, 0, 3, 0, 0, 3])
([1, -1, 0, 0, 0, 1, 0, 1, -1, 0], [0, 1, 1, 1, 0, 1, 0, 0, 15])
([-1, -1, 0, 0, 0, 1, 0, 1, -1, 1], [0, 4, 4, 4, 0, 8, 0, 0, 0])
([1, -1, 0, 0, 0, 1, -1, 1, -1, 1], [0, 4, 1, 1, 0, 0, 0, 0, 0])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 2, 2, 9, 2, 48, 1, 1, 1])
([1, 0, 0, 0, 0, 0, -1, 0, 0, 0], [2, 2, 11, 3, 7, 0, 13, 3, 2])
([-1, 0, 0, 0, 0, 0, -1, 1, 0, 0], [2, 2, 34, 1, 3, 0, 0, 1, 1])
([1, 0, 0, -1, 0, 0, -1, 1, 0, 0], [8, 8, 0, 8, 7, 0, 0, 15, 15])
([-1, 0, 0, -1, 0, 0, -1, 1, 0, 1], [2, 2, 0, 2, 2, 0, 0, 10, 0])
([1, 0, 0, -1, -1, 0, -1, 1, 0, 1], [1, 1, 0, 0, 1, 0, 0, 6, 0])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 7, 2, 2, 45, 1, 1, 1, 1])
([1, 0, -1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 2, 2, 3, 2, 43, 3, 3])
([-1, 0, -1, 0, 0, 0, 0, 1, 0, 0], [12, 0, 7, 5, 5, 20, 0, 9, 5])
([1, 0, -1, 0, 0, 0, -1, 1, 0, 0], [2, 0, 5, 1, 3, 0, 0, 1, 1])
([-1, 0, -1, 1, 0, 0, -1, 1, 0, 0], [2, 0, 0, 2, 3, 0, 0, 1, 1])
([1, 0, -1, 1, 0, -1, -1, 1, 0, 0], [2, 0, 0, 2, 0, 0, 0, 1, 1])
([-1, 0, -1, 1, 1, -1, -1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 2, 2, 2, 3, 18, 52, 1, 1])
([1, 0, 0, 0, 0, 0, 0, -1, 0, 0], [2, 2, 3, 23, 3, 2, 0, 2, 2])
([-1, 0, 0, 0, 1, 0, 0, -1, 0, 0], [4, 2, 2, 0, 3, 2, 0, 2, 7])
([1, 0, 0, 0, 1, -1, 0, -1, 0, 0], [3, 4, 2, 0, 0, 2, 0, 2, 2])
([-1, 0, 0, 0, 1, -1, 0, -1, 1, 0], [6, 1, 1, 0, 0, 1, 0, 0, 7])
([1, 0, 0, 0, 1, -1, 0, -1, 1, -1], [3, 2, 2, 0, 0, 2, 0, 0, 0])
([-1, 1, 0, 0, 1, -1, 0, -1, 1, -1], [0, 3, 1, 0, 0, 1, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 98, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [8, 8, 8, 8, 14, 13, 0, 15, 12])
([1, 0, 0, 0, -1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 0, 10, 1])
([-1, 0, 0, 0, -1, 0, 0, 1, 0, 1], [8, 7, 7, 0, 7, 6, 0, 6, 0])
([1, 0, -1, 0, -1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 7, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 29, 1, 1, 1, 1, 1, 1])
