([-1, -1, 1, -1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 5, 1, 1, 1, 0, 1, 1, 1, 3, 0, 1])
([1, -1, 1, -1, 1, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2, 0, 3, 3, 0, 2, 2, 2, 1, 0, 1])
([-1, -1, 1, -1, 1, 1, 0, -1, 0, 0, -1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 6, 1, 1, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 10, 3, 4, 6, 12, 18, 4, 3, 3, 14, 3, 354, 31, 27, 20])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [15, 30, 23, 70, 19, 11, 38, 54, 27, 32, 62, 50, 0, 66, 11, 7])
([1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0], [3, 5, 3, 3, 2, 490, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0], [20, 6, 22, 30, 6, 0, 73, 38, 0, 40, 26, 24, 0, 34, 97, 8])
([1, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0], [3, 2, 3, 2, 2, 0, 0, 3, 0, 29, 1, 1, 0, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 1, -1, 0, -1, 1, 0, 0, 1, 0, 0, 0], [2, 5, 5, 4, 2, 0, 0, 2, 0, 0, 9, 3, 0, 3, 2, 3])
([1, 0, 0, 0, 0, 0, 1, -1, 0, -1, 1, 0, 0, 1, -1, 0, 0], [2, 2, 17, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 1])
([-1, 0, 0, 1, 0, 0, 1, -1, 0, -1, 1, 0, 0, 1, -1, 0, 0], [3, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 5, 1])
([1, 0, 0, 1, 0, 0, 1, -1, 0, -1, 1, 0, 0, 1, -1, -1, 0], [3, 2, 0, 2, 2, 0, 0, 2, 0, 0, 5, 1, 0, 0, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 16, 8, 23, 22, 6, 14, 3, 23, 4, 10, 4, 6, 351, 20, 2])
([-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [2, 2, 5, 2, 2, 2, 146, 1, 1, 1, 1, 2, 1, 0, 1, 1])
([1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [6, 10, 6, 10, 4, 52, 0, 3, 8, 8, 4, 232, 3, 0, 3, 56])
([-1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [8, 2, 48, 2, 2, 2, 0, 2, 2, 22, 12, 6, 3, 0, 20, 0])
([1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [3, 0, 4, 3, 6, 14, 0, 3, 4, 26, 6, 20, 63, 0, 16, 0])
([-1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, 1], [8, 0, 10, 16, 16, 10, 0, 62, 6, 2, 4, 2, 0, 0, 51, 0])
([1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, 1], [2, 0, 2, 2, 0, 2, 0, 2, 28, 2, 2, 2, 0, 0, 2, 0])
([-1, 0, -1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 1, 1, 0, 1], [2, 0, 2, 2, 0, 2, 0, 3, 0, 2, 15, 1, 0, 0, 1, 0])
([1, 0, -1, 0, -1, -1, 0, -1, 0, 1, 0, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0, 12, 0, 1, 1, 1, 0, 0, 1, 0])
([-1, 0, -1, 0, -1, -1, 0, -1, 1, 1, 0, 0, 0, 1, 1, 0, 1], [3, 0, 3, 0, 0, 3, 0, 0, 0, 2, 2, 2, 0, 0, 2, 0])
([1, 0, -1, 0, -1, -1, -1, -1, 1, 1, 0, 0, 0, 1, 1, 0, 1], [3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 2, 2, 3, 2, 490, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 26, 3, 422, 2, 0, 3, 2, 2, 40, 2, 2, 2, 2, 2, 2])
([1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [16, 55, 16, 0, 6, 0, 47, 63, 24, 62, 44, 32, 40, 14, 20, 36])
([-1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [42, 3, 5, 0, 113, 0, 5, 5, 280, 25, 0, 7, 3, 11, 5, 9])
([1, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [2, 12, 3, 0, 0, 0, 3, 2, 2, 2, 0, 3, 173, 1, 1, 1])
([-1, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0], [6, 8, 16, 0, 0, 0, 10, 8, 8, 5, 0, 5, 0, 12, 8, 4])
([1, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 1, 0, 1, -1, 0, 0], [1, 1, 1, 0, 0, 0, 1, 94, 1, 1, 0, 1, 0, 0, 1, 1])
