([-1, 1, 1, -1, 0, -1, 0, 0, 1, 0], [0, 0, 0, 2, 0, 3, 2, 0, 5])
([1, 1, 1, -1, 0, -1, -1, 0, 1, 0], [0, 0, 0, 2, 0, 0, 6, 0, 2])
([-1, 1, 1, -1, 0, -1, -1, 0, 1, 1], [0, 0, 0, 2, 0, 0, 4, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 72, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 0, 1, 0], [2, 2, 2, 2, 3, 2, 31, 0, 1])
([1, 0, 0, 0, 0, 0, 0, -1, 1, 0], [5, 3, 5, 10, 10, 10, 0, 0, 3])
([-1, 0, 0, 0, 0, 0, 0, -1, 1, 1], [3, 14, 6, 17, 2, 2, 0, 0, 0])
([1, 0, 0, 0, -1, 0, 0, -1, 1, 1], [4, 11, 4, 0, 2, 2, 0, 0, 0])
([-1, 0, 0, 1, -1, 0, 0, -1, 1, 1], [9, 2, 0, 0, 2, 2, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 39, 1, 1, 1, 1, 1, 1, 2])
([-1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [11, 0, 6, 2, 4, 9, 2, 11, 2])
([1, 0, 1, 0, 0, 0, 0, 0, -1, 0], [1, 0, 88, 1, 1, 1, 1, 0, 1])
([-1, 0, 1, 1, 0, 0, 0, 0, -1, 0], [9, 0, 0, 8, 7, 7, 8, 0, 8])
([1, 0, 1, 1, 0, 0, -1, 0, -1, 0], [1, 0, 0, 18, 1, 0, 1, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 3, 16, 2, 1, 1, 1, 1, 1])
([-1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 8, 0, 8, 6, 6, 12, 10, 6])
([1, 0, 0, 1, -1, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 1, 1, 1, 1])
([-1, 0, 1, 1, -1, 0, 0, 0, 0, 0], [14, 0, 0, 0, 16, 18, 14, 14, 14])
([1, 0, 1, 1, -1, -1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 14, 1])
