([1, -1, 1, 1, 0, -1, 0, -1, 0, 1], [0, 0, 0, 6, 0, 1, 0, 1, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 7, 1, 1, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [4, 4, 5, 4, 0, 5, 3, 3, 7])
([1, 0, 0, -1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1, 1, 1, 34])
([-1, 0, 0, -1, 0, 1, 0, 1, 0, 0], [3, 6, 0, 3, 0, 17, 0, 2, 2])
([1, 0, 0, -1, 0, 1, -1, 1, 0, 0], [2, 2, 0, 2, 0, 0, 0, 13, 2])
([-1, 0, 0, -1, 0, 1, -1, 1, 1, 0], [2, 2, 0, 2, 0, 0, 0, 0, 7])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 31, 1, 1, 1, 1, 1, 1, 2])
([-1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 3, 2, 28, 2, 2, 2, 2])
([1, 0, 1, 0, 0, 0, 0, 0, 0, -1], [3, 0, 3, 16, 19, 1, 1, 1, 0])
([-1, 0, 1, 0, 1, 0, 0, 0, 0, -1], [4, 0, 15, 0, 4, 4, 7, 4, 0])
([1, 0, 1, 0, 1, 0, -1, 0, 0, -1], [1, 0, 19, 0, 1, 0, 1, 1, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 3, 2, 9, 40, 1, 1, 1, 1])
([-1, 0, 0, 0, 1, 0, 0, 0, 0, 0], [4, 3, 2, 0, 2, 2, 2, 16, 2])
([1, 0, 0, -1, 1, 0, 0, 0, 0, 0], [2, 2, 0, 0, 9, 1, 1, 2, 1])
([-1, 0, 0, -1, 1, 1, 0, 0, 0, 0], [5, 3, 0, 0, 0, 7, 3, 6, 3])
([1, -1, 0, -1, 1, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 7, 1, 1, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 56, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [11, 6, 6, 9, 11, 7, 0, 6, 9])
([1, -1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 1, 20, 1, 1, 0, 1, 1])
([-1, -1, 0, 0, 1, 0, 0, 1, 0, 0], [0, 5, 5, 0, 9, 5, 0, 5, 5])
([1, -1, 0, 0, 1, 0, 0, 1, -1, 0], [0, 2, 6, 0, 1, 1, 0, 0, 1])
([-1, -1, 1, 0, 1, 0, 0, 1, -1, 0], [0, 0, 2, 0, 2, 1, 0, 0, 1])
